type	index	image_path	md_path	question	A	B	C	D	answer
fs	1344	data/figure/fs/2024-03-24--橡胶制品-阳谷华泰-2023年报点评：2023年业绩承压，期待新项目投产带来增量_page10_附表阳谷华泰盈利预测表.jpg	data/markdown/2024-03-24--橡胶制品-阳谷华泰-2023年报点评：2023年业绩承压，期待新项目投产带来增量_page10_附表阳谷华泰盈利预测表.md	2024E 年的固定资产合计比 2023 年增加了多少？	198.7 百万元	219.2 百万元	259.2 百万元	298.7 百万元	B
fs	1345	data/figure/fs/2024-03-21--美容护理-爱美客-溶液产品高增，再生产品放量，净利率保持高位_page2_财务报表和主要财务比率.jpg	data/markdown/2024-03-21--美容护理-爱美客-溶液产品高增，再生产品放量，净利率保持高位_page2_财务报表和主要财务比率.md	2023年与2024E年的营业利润相比，增长百分比是多少？	0.156	0.208	0.252	0.304	B
fs	1346	data/figure/fs/2024-03-20--互联网服务-中科创达-公司信息更新报告：利润短期承压，布局创新业务打造新动能_page1_附财务预测摘要.jpg	data/markdown/2024-03-20--互联网服务-中科创达-公司信息更新报告：利润短期承压，布局创新业务打造新动能_page1_附财务预测摘要.md	2024E 年的总资产合计比 2023 年增加了多少？	568 百万元	679 百万元	782 百万元	893 百万元	B
fs	1347	data/figure/fs/2024-03-20--电网设备-南网科技-消纳推动电网数智化加速，灵活性改造空间可观_page1_财务预测摘要.jpg	data/markdown/2024-03-20--电网设备-南网科技-消纳推动电网数智化加速，灵活性改造空间可观_page1_财务预测摘要.md	2024E 年的固定资产合计比 2023 年增加了多少？	50.86 百万元	60.86 百万元	70.86 百万元	80.86 百万元	A
fs	1348	data/figure/fs/2024-03-19--仪器仪表-容知日新-智能运维百亿蓝海，行业龙头领跑掘金_page48_图表77财务预测摘要.jpg	data/markdown/2024-03-19--仪器仪表-容知日新-智能运维百亿蓝海，行业龙头领跑掘金_page48_图表77财务预测摘要.md	根据资产负债表，2025E年与2022A年相比，总资产增长了多少？	0.703	0.694	0.712	0.688	A
fs	1349	data/figure/fs/2024-03-18--通用设备-中集集团-全球集装箱龙头，集装箱需求回暖共振海工复苏_page31_公司财务报表数据预测汇总.jpg	data/markdown/2024-03-18--通用设备-中集集团-全球集装箱龙头，集装箱需求回暖共振海工复苏_page31_公司财务报表数据预测汇总.md	2024E 年的净利润增长率是多少？	0.707	10.2837	0.3706	-0.9138	B
fs	1350	data/figure/fs/2024-03-18--汽车零部件-三祥科技-公司动态研究报告：售后市场韧性显著，穿越周期有望持续增长_page2_公司盈利预测百万元.jpg	data/markdown/2024-03-18--汽车零部件-三祥科技-公司动态研究报告：售后市场韧性显著，穿越周期有望持续增长_page2_公司盈利预测百万元.md	2024E 年流动资产合计与固定资产合计的差值是多少？	765	803	841	879	B
fs	1351	data/figure/fs/2024-03-17--食品饮料-欧福蛋业-国内蛋液行业第一品牌，发力预制品开拓增长空间_page19_附表财务预测与估值.jpg	data/markdown/2024-03-17--食品饮料-欧福蛋业-国内蛋液行业第一品牌，发力预制品开拓增长空间_page19_附表财务预测与估值.md	根据预测，2025E年的净利润增长率是多少？	0.346	0.408	0.379	0.392	C
fs	1352	data/figure/fs/2024-03-16--食品饮料-东鹏饮料-东鹏展翅划出第二曲线，泛饮料品类平台踏新程_page29_no_caption.jpg	data/markdown/2024-03-16--食品饮料-东鹏饮料-东鹏展翅划出第二曲线，泛饮料品类平台踏新程_page29_no_caption.md	根据资产负债表，2023E年与2025E年相比，流动资产合计的差值是多少？	4,768百万元	5,926百万元	6,476百万元	7,490百万元	C
fs	1353	data/figure/fs/2024-03-14--半导体-芯源微-前道涂胶显影竞争力持续凸显，化学清洗键和设备等新品进展顺利_page3_no_caption.jpg	data/markdown/2024-03-14--半导体-芯源微-前道涂胶显影竞争力持续凸显，化学清洗键和设备等新品进展顺利_page3_no_caption.md	2024E 年与 2022 年相比，营业收入增长了多少百分比？	0.658	0.731	0.803	0.859	A
fs	1354	data/figure/fs/2024-03-14--电子元件-高华科技-业绩保持较快增长，军民市场持续开拓_page2_no_caption.jpg	data/markdown/2024-03-14--电子元件-高华科技-业绩保持较快增长，军民市场持续开拓_page2_no_caption.md	2025E 年的营业利润与 2022A 年相比，增长了多少百分比？	0.643	0.709	0.756	0.802	B
